Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD
30/01/2017,05:46:55,-8.34,108.54,103,3.5,MLv,"Pusat gempa di laut,74 km Barat Daya Pangandaran Jabar",TIDAK,M3,D2,M3D2
30/01/2017,13:45:51,-9.23,113.06,7,3.1,MLv,Pusat gempa di laut 116 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
30/01/2017,16:45:36,-9.61,112.8,10,3.5,MLv,Pusat gempa di laut 152 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
1/2/2017,05:48:40,-7.48,109,216,3.3,MLv,Pusat gempa di darat 15 km Barat Laut Banyumas Jateng,TIDAK,M3,D2,M3D2
1/2/2017,11:49:39,-8.43,109.24,28,3.5,MLv,Pusat gempa di laut 81 Km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1
2/2/2017,14:24:06,-9,111.32,20,3.2,MLv,Pusat gempa di laut 94 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
3/2/2017,21:55:51,-10.04,113.38,10,3.8,MLv,pusat gempa di laut 210 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
4/2/2017,11:54:37,-8.52,108.62,60,3.5,MLv,Pusat gempa di laut 93 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D2,M3D2
6/2/2017,21:21:12,-9.23,112.08,10,4.1,M,Pusat gempa di laut 123 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M4,D1,M4D1
7/2/2017,04:21:21,-8.33,109.08,30,3.1,MLv,Pusat gempa di laut 70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
7/2/2017,08:25:27,-8.85,110.41,10,4.4,MLv,Pusat gempa dilaut 93 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M4,D1,M4D1
7/2/2017,17:21:49,-8.57,113.07,126,5.1,M,Pusat gempa di laut 53 Km Barat Daya Lumajang Jawa Timur,TIDAK,M5,D2,M5D2
8/2/2017,19:35:27,-7.63,113.54,17,2.9,MLv,Pusat gempa di laut 27 km TimurLaut KAB-PROBOLINGGO-JATIM,TIDAK,M2,D1,M2D1
8/2/2017,23:02:10,-8.89,111.03,22,3.2,MLv,Pusat gempa dilaut 78km Barat Daya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
9/2/2017,19:09:18,-8.91,111.36,30,3.5,MLv,Pusat gempa di laut 85 km Tenggata Pacitan Jatim,TIDAK,M3,D1,M3D1
10/2/2017,06:33:58,-8.62,110.74,10,3.3,MLv,Pusat gempa di laut 62 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
10/2/2017,10:17:52,-9.72,111.78,10,3.7,MLv,Pusat gempa berada di laut 181 km Tenggara Trenggalek-Jawa Timur,TIDAK,M3,D1,M3D1
10/2/2017,11:23:18,-9.61,111.84,10,3.4,MLv,Pusat gempa di laut 169 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M3,D1,M3D1
11/2/2017,05:43:57,-9.14,113.48,10,3.1,M,Pusat gempa di laut 110 km Barat Daya Jember - Jawa Timur,TIDAK,M3,D1,M3D1
11/2/2017,13:25:36,-8.02,110.47,25,2.7,MLv,Pusat gempa di darat 15 km Tenggara Bantul - D.I. Yogyakarta,TIDAK,M2,D1,M2D1
11/2/2017,20:13:43,-9.29,113.95,10,3.1,MLv,Pusat gempa di laut 126 km Barat Daya Jembrana - Bali,TIDAK,M3,D1,M3D1
12/2/2017,05:41:48,-8.92,110.68,10,3.6,MLv,Pusat gempa 94 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
12/2/2017,06:42:42,-9.38,112.08,10,4.7,MLv,Pusat gempa di laut 139 km Baratdaya Kab. Blitar-Jatim,TIDAK,M4,D1,M4D1
15/02/2017,11:27:48,-8.85,110.51,10,2.8,MLv,Pusat gempa di laut 91 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
15/02/2017,22:03:21,-9.21,113.1,10,2.9,MLv,"pusat gempa di laut, 115 km Tenggara KAB-MALANG-JATIM",TIDAK,M2,D1,M2D1
15/02/2017,22:58:37,-10.53,111.73,10,3.5,MLv,"Pusat gempa di laut, 270 km Tenggara Pacitan Jatim",TIDAK,M3,D1,M3D1
17/02/2017,12:25:24,-8.66,110.03,11,2.9,MLv,Pusat gempa di laut 91 km BaratDaya Bantul DIY,TIDAK,M2,D1,M2D1
18/02/2017,12:20:32,-8.51,110.72,21,2.5,MLv,Pusat gempa di laut 54 km Tenggara GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
18/02/2017,18:13:41,-9.7,112.81,10,3.7,MLv,Pusat gempa di laut 162 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
18/02/2017,20:07:23,-9.26,112.96,10,3.5,MLv,Pusat gempa di laut 116 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
18/02/2017,23:11:48,-9.42,112.84,20,3.1,MLv,Pusat gempa di laut 131 km Tenggara KAB.MALANG-JATIM,TIDAK,M3,D1,M3D1
20/02/2017,05:57:45,-8.3,109.8,39,3.4,MLv,Pusat gempa di laut 66 km BaratDaya KULONPROGO-D.I Yogyakarta,TIDAK,M3,D1,M3D1
20/02/2017,06:14:37,-7.2,113.09,10,3.7,MLv,Pusat gempa di darat 18 Km Barat Daya Sampang - Jawa Timur Dirskan di Sampang I SIG BMKG (II-III MMI),YA,M3,D1,M3D1
21/02/2017,12:08:48,-8.28,109.29,20,3.1,MLv,Pusat gempa di laut 71 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
22/02/2017,17:21:24,-9.55,112.76,10,3.3,MLv,Pusat gempa di laut 145 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
23/02/2017,21:26:29,-10.1,112.35,10,3.2,MLv,Pusat gempa di laut 210 km BaratDaya KAB-MALANG JATIM,TIDAK,M3,D1,M3D1
25/02/2017,22:51:59,-8.66,111.33,13,3.1,MLv,"Pusat gempa di laut, 58 km Tenggara Pacitan Jatim",TIDAK,M3,D1,M3D1
26/02/2017,13:04:01,-8.18,108.76,85,3.9,M,Pusat gempa di laut 56 km Tenggara Kab. Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2
26/02/2017,17:08:08,-9.22,110.67,10,3.1,MLv,Pusat gempa di laut 125 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
27/02/2017,02:43:03,-8.77,112.16,31,2.7,MLv,Pusat gempa di laut 71 km BaratDaya Blitar JATIM,TIDAK,M2,D1,M2D1
28/02/2017,01:01:40,-9.27,113.28,10,4.3,MLv,Pusat gempa dilaut 130 km BaratDaya JEMBER-JATIM,TIDAK,M4,D1,M4D1
1/3/2017,10:32:26,-9.2,113.5,21,2.7,MLv,Pusat gempa di laut 116 km Barat daya Jember - Jawa Timur,TIDAK,M2,D1,M2D1
1/3/2017,19:07:42,-8.89,113.09,90,3.1,MLv,Pusat gempa di laut 83 km Tenggara Kab. Malang - Jawa Timur,TIDAK,M3,D2,M3D2
1/3/2017,22:06:08,-6.13,112.88,592,4.6,M,Pusat gempa di laut 80 km baratlaut Bangkalan-Jatim,TIDAK,M4,D3,M4D3
2/3/2017,08:51:55,-8.36,110.6,59,3,MLv,Pusat gempa di laut 36 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
5/3/2017,11:59:28,-9.02,110.55,7,3.2,MLv,Pusat gempa di laut 110 km barat daya Gunungkidul-DIY,TIDAK,M3,D1,M3D1
7/3/2017,02:53:01,-8.73,110.31,10,2.6,MLv,Pusat gempa di laut 90 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
8/3/2017,02:15:10,-8.91,110.23,35,4.7,MLv,Pusat gempa dilaut 106 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M4,D1,M4D1
8/3/2017,14:26:45,-9.04,111.86,29,2.9,MLv,Pusat gempa di laut 106 km BaratDaya TULUNGAGUNG-JATIM,TIDAK,M2,D1,M2D1
8/3/2017,22:19:46,-9.27,111.32,10,2.9,MLv,Pusat gempa di laut 121 km Tenggara PACITAN-JATIM,TIDAK,M2,D1,M2D1
9/3/2017,13:10:11,-7.56,109.9,10,2.9,MLv,Pusat gempa di darat 21 km Selatan WONOSOBO JATENG,TIDAK,M2,D1,M2D1
11/3/2017,08:43:11,-8.67,110.16,21,2.8,MLv,Pusat gempa dilaut 88 km BaratDaya BANTUL-D.I. Yogyakarta,TIDAK,M2,D1,M2D1
11/3/2017,12:55:10,-10.3,113.11,10,3.5,MLv,Pusat gempa di laut 232 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
12/3/2017,15:44:01,-7.62,111.46,6,2.4,MLv,"Pusat gempa di darat, 7km Barat Laut Kota Madiun Jatim",TIDAK,M2,D1,M2D1
13/03/2017,14:22:10,-8.76,113.46,91,4,MLv,Pusat gempa di laut 70 km BaratDaya JEMBER-JATIM,TIDAK,M3,D2,M3D2
13/03/2017,15:00:53,-8.39,108.9,78,3.1,M,Pusat gempa di laut 78 km BaratDaya CILACAP-JATENG,TIDAK,M3,D2,M3D2
14/03/2017,04:36:29,-5.78,110.1,552,5,MLv,Pusat gempa di laut 108 km BaratLaut JEPARA-JATENG,TIDAK,M4,D3,M4D3
14/03/2017,20:59:22,-8.93,110.74,30,3,MLv,Pusat Gempa di laut 90 km Barat Daya Pacitan - Jawa Timur,TIDAK,M2,D1,M2D1
15/03/2017,02:34:02,-9.13,110.08,8,4.6,MLv,Pusat gempa di laut 135 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M4,D1,M4D1
15/03/2017,06:05:40,-9.41,112.76,14,3.5,MLv,Pusat gempa di laut 129 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
15/03/2017,13:47:55,-9.35,112.81,10,3.4,M,Pusat gempa di laut 123 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
15/03/2017,16:42:01,-8.87,111.3,27,3.1,MLv,Pusat gempa di laut 79 km Tenggara Pacitan Jatim,TIDAK,M3,D1,M3D1
16/03/2017,02:36:01,-9.26,112.9,11,3.2,MLv,"Pusat gempa dilaut,114 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1
18/03/2017,13:11:33,-10.64,113.69,30,3.9,MLv,Pusat gempa di laut 273 km BaratDaya JEMBRANA-BALI,TIDAK,M3,D1,M3D1
18/03/2017,18:29:56,-10.4,113.48,10,3.5,MLv,Pusat gempa di laut 248 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
20/03/2017,05:31:06,-7.6,111.78,12,2.6,MLv,Pusat gempa di darat 13 km BaratLaut NGANJUK-JATIM,TIDAK,M2,D1,M2D1
20/03/2017,10:56:35,-8.02,110.33,10,2.6,MLv,Pusat gempa di darat 12 km BaratDaya Bantul-DIY,TIDAK,M2,D1,M2D1
20/03/2017,16:56:31,-7.62,111.75,15,3,MLv,Pusat di darat 14 km Tenggara Kab.Madiun-Jatim,TIDAK,M2,D1,M2D1
22/03/2017,14:15:47,-8.68,110.79,29,3,MLv,"Pusat gempa di laut, 65 km Barat Daya Pacitan Jatim",TIDAK,M2,D1,M2D1
22/03/2017,19:13:52,-7.98,109.28,10,3.1,MLv,Pusat gempa di laut 42 km Tenggara CILACAP-JATENG),TIDAK,M3,D1,M3D1
22/03/2017,20:54:30,-8.64,109.94,12,2.8,MLv,"Pusat gempa di laut, 93 km Barat Daya Bantul D.I.Yogyakarta",TIDAK,M2,D1,M2D1
23/03/2017,12:10:42,-9.56,112.42,10,3.1,MLv,Pusat gempa di laut 150 km Barat Daya Malang - Jawa Timur,TIDAK,M3,D1,M3D1
27/03/2017,07:54:18,-9.01,109.87,10,3.5,MLv,Pusat gempa di laut 133 km BaratDaya BANTUL-DIY,TIDAK,M3,D1,M3D1
28/03/2017,12:50:30,-9.31,111.28,10,3.9,MLv,Pusat gempa di laut 127 km tenggara Pacitan,TIDAK,M3,D1,M3D1
28/03/2017,22:24:50,-8.35,108.92,10,4,MLv,Pusat gempa di laut 73 km BaratDaya CILACAP-JATENG,TIDAK,M3,D1,M3D1
29/03/2017,03:49:54,-8.33,109.05,20,3.2,MLv,Pusat gempa di laut70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
29/03/2017,11:03:06,-8.37,109.01,30,2.9,MLv,Pusat gempa di laut 74 km BaratDaya CILACAP-JATENG,TIDAK,M2,D1,M2D1
29/03/2017,13:12:55,-8.47,108.94,40,3.3,MLv,Pusat gempa di laut 82 km BaratDaya Cilacap-Jawa Tengah,TIDAK,M3,D1,M3D1
29/03/2017,18:00:01,-7.65,111.36,21,2.9,MLv,Pusat gempa di darat 2 km Tenggara MAGETAN-JATIM,TIDAK,M2,D1,M2D1
29/03/2017,20:43:38,-8.87,110.66,10,3.2,MLv,Pusat gempa di laut 89 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
30/03/2017,00:24:50,-8.63,110.37,29,2.8,MLv,Pusat gempa di laut 78 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
30/03/2017,05:08:40,-8.22,109.14,10,3,MLv,Pusat gempa dilaut 59 km tenggara Cilacap-Jateng,TIDAK,M2,D1,M2D1
30/03/2017,06:58:27,-9.44,113.89,10,3.6,MLv,Pusat gempa di laut 142 km Tenggara JEMBER-JATIM,TIDAK,M3,D1,M3D1
30/03/2017,19:16:48,-9.25,112.87,10,3.1,MLv,Pusat gempa di laut 113 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
31/03/2017,01:38:27,-8.81,112.49,24,2.6,MLv,Pusat gempa dilaut 67 km baratdaya Kab. Malang-Jatim,TIDAK,M2,D1,M2D1
31/03/2017,03:29:20,-8.48,108.86,35,3.1,MLv,Pusat gempa dilaut 88 km batatdaya Cilacap-Jateng ,TIDAK,M3,D1,M3D1
31/03/2017,09:15:24,-9.26,113.01,16,2.9,MLv,Pusat gempa dilaut 117 km tenggara Kab. Malang-Jatim,TIDAK,M2,D1,M2D1
31/03/2017,22:49:37,-9.07,112.21,9,3.9,MLv,Pusat gempa di laut 104 km Barat daya Blitar - Jawa Timur,TIDAK,M3,D1,M3D1
1/4/2017,00:22:47,-8.25,109.05,10,2.9,MLv,Pusat gempa di laut 61 km Tenggara Cilacap - Jawa Tengah,TIDAK,M2,D1,M2D1
1/4/2017,15:03:59,-8.42,108.96,10,3.8,MLv,"Pusat gempa dilaut, 80 km Barat Daya Cilacap Jateng",TIDAK,M3,D1,M3D1
2/4/2017,03:43:41,-8.28,109.03,30,2.8,MLv,Pusat gempa di laut 64 km Tenggara CILACAP-JATENG,TIDAK,M2,D1,M2D1
2/4/2017,06:50:27,-8.24,109.14,20,2.6,MLv,Pusat gempa di laut 61 km Tenggara CILACAP-JATENG,TIDAK,M2,D1,M2D1
2/4/2017,11:33:46,-8.46,108.87,30,3.2,MLv,Pusat gempa di laut 86 km BaratDaya CILACAP-JATENG,TIDAK,M3,D1,M3D1
2/4/2017,11:45:56,-8.37,109.02,27,2.8,MLv,Pusat gempa di laut 74 km BaratDaya CILACAP-JATENG,TIDAK,M2,D1,M2D1
3/4/2017,23:49:51,-8.75,108.68,10,2.8,MLv,Pusat gempa di laut 118 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M2,D1,M2D1
4/4/2017,21:29:13,-8.28,110.31,15,2.8,MLv,Pusat gempa di laut 40 km Barat Daya Bantul - D.I. Yogyakarta,TIDAK,M2,D1,M2D1
4/4/2017,23:06:33,-8.54,113.21,79,3.2,MLv,Pusat gempa dilaut 50 km Tenggara LUMAJANG-JATIM,TIDAK,M3,D2,M3D2
5/4/2017,02:54:24,-8.58,108.83,16,3.4,MLv,Pusat gempa dilaut 100 km BaratDaya Cilacap-Jawa Tengah,TIDAK,M3,D1,M3D1
5/4/2017,07:55:27,-9.5,114,97,2.9,MLv,Pusat gempa di laut 144km BaratDaya Jembrana - Bali,TIDAK,M2,D2,M2D2
5/4/2017,08:35:40,-8.32,109.01,10,3.4,MLv,Pusat gempa di laut 66 km BaratDaya CILACAP-JATENG,TIDAK,M3,D1,M3D1
5/4/2017,11:40:49,-7.49,111.13,10,2.7,MLv,Pusat gempa di darat 14 km Tenggara Sragen - Jawa Tengah,TIDAK,M2,D1,M2D1
5/4/2017,14:00:29,-8.83,110.26,28,3.3,MLv,Pusat gempa di laut 97km BaratDaya Gunung Kidul-DIY,TIDAK,M3,D1,M3D1
6/4/2017,05:46:38,-8.65,109.67,10,3.1,MLv,Pusat gempa di laut 103 km BaratDaya KULONPROGO-DIY,TIDAK,M3,D1,M3D1
7/4/2017,13:32:46,-8.47,108.97,10,2.8,MLv,Pusat gempa di laut 85 km BaratDaya CILACAP-JATENG,TIDAK,M2,D1,M2D1
8/4/2017,05:30:13,-8.9,112.42,25,3,MLv,Pusat gempa di laut 80 km Barat Daya Kab. Malang - Jawa Timur,TIDAK,M2,D1,M2D1
8/4/2017,08:17:13,-8.1,112.59,5,3.7,MLv,"Pusat gempa di darat 15 km Barat Daya Kota Malang - Jawa Timur, Dirasakan di Karangkates II SIG - BMKG (III-IV MMI)",YA,M3,D1,M3D1
8/4/2017,15:27:55,-8.78,112.31,14,2.6,MLv,Pusat gempa dilaut 72 Km Tenggara Blitar - Jawa Timur,TIDAK,M2,D1,M2D1
9/4/2017,10:11:37,-8.34,109.06,20,3.2,MLv,"Pusat gempa di laut, 67 km Tenggara Cilacap Jateng",TIDAK,M3,D1,M3D1
9/4/2017,11:50:45,-8.76,110.86,9,3,MLv,"Pusat gempa di laut, 68 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
9/4/2017,23:22:43,-9.69,111.73,10,4.7,MLv,Pusat gempa di laut 178 km Tenggara Trenggalek - Jawa Timur,TIDAK,M4,D1,M4D1
10/4/2017,08:58:21,-10.41,113.07,30,3.8,MLv,"Pusat gempa dilaut, 244 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1
10/4/2017,12:05:41,-10.06,111.77,10,4.1,MLv,"Pusat gempa di laut, 219 km Barat Daya Tulungagung Jatim",TIDAK,M4,D1,M4D1
11/4/2017,22:20:35,-9.45,112.82,8,2.8,MLv,"Pusat gempa dilaut, 134 km Tenggara Kab. Malang Jatim",TIDAK,M2,D1,M2D1
12/4/2017,01:19:46,-8.86,109.91,12,3,MLv,Pusat gempa di laut 117 km BaratDaya BANTUL-DIY,TIDAK,M2,D1,M2D1
12/4/2017,03:36:30,-8.44,109.22,10,2.9,MLv,Pusat gempa di laut 82 km Tenggara CILACAP-JATENG,TIDAK,M2,D1,M2D1
12/4/2017,04:08:56,-8.77,110.86,20,3.5,MLv,Pusat gempa di laut 69 km baratdaya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
12/4/2017,04:12:30,-8.67,110.91,20,3.3,MLv,Pusat gempa di laut 56 km baratdaya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
12/4/2017,08:50:57,-9.46,112.81,10,3.3,MLv,Pusat gempa di laut 135 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
13/04/2017,11:00:47,-9.04,112.81,21,3.1,MLv,Pusat gempa di laut 89 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
14/04/2017,04:36:22,-9.43,112.88,10,4.3,MLv,Pusat gempa dilaut 133 km Tenggara kab Malang-Jawa Timur,TIDAK,M4,D1,M4D1
14/04/2017,05:26:09,-9.48,112.88,10,3.3,MLv,Pusat gempa  dilaut 138 km Tenggara Malang -Jawa Timur,TIDAK,M3,D1,M3D1
14/04/2017,08:54:56,-9.62,112.77,10,3.5,MLv,Pusat gempa di laut 153km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
14/04/2017,09:13:08,-9.64,112.77,10,3.6,MLv,Pusat gempa dilaut 155 km Temggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
14/04/2017,12:49:01,-9.55,112.77,10,3.9,M,Pusat gempa di laut 145 km Tenggara Kab. Malang - Jawa Timur,TIDAK,M3,D1,M3D1
15/04/2017,09:24:19,-9.56,112.85,10,3.4,MLv,Pusat gempa di laut 147 km Tenggara  Kab. Malang Jawa Timur,TIDAK,M3,D1,M3D1
