Datetime,Latitude,Longitude,Kedalaman,Magnitude,Type,Keterangan,Dirasakan,M,D,MD
1/25/2017,-5.3,113.4933984,12,0,,,,,,
1/26/2017,-7.99,111.2,10,3.2,MLv,Pusat gempa di darat 20 km Tenggara WONOGIRI-JATENG,TIDAK,M3,D1,M3D1
1/27/2017,0.4,118.7291661,12,0,,,,,,
1/28/2017,-9.44,113.06,10,4.7,M,Pusat gempa di laut 138 km Tenggara MALANG-JATIM,TIDAK,M4,D1,M4D1
1/29/2017,-9.73,112.87,10,4.9,MLv,Pusat gempa di laut 166 km tenggara Kab. Malang-Jatim,TIDAK,M4,D1,M4D1
1/30/2017,-8.34,108.54,103,3.5,MLv,"Pusat gempa di laut,74 km Barat Daya Pangandaran Jabar",TIDAK,M3,D2,M3D2
1/31/2017,-6.7,114.9364375,12,0,,,,,,
2/1/2017,-7.48,109,216,3.3,MLv,Pusat gempa di darat 15 km Barat Laut Banyumas Jateng,TIDAK,M3,D2,M3D2
2/2/2017,-9,111.32,20,3.2,MLv,Pusat gempa di laut 94 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
2/3/2017,-10.04,113.38,10,3.8,MLv,pusat gempa di laut 210 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
2/4/2017,-8.52,108.62,60,3.5,MLv,Pusat gempa di laut 93 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D2,M3D2
2/5/2017,-8,119.6176294,20,0,,,,,,
2/6/2017,-9.23,112.08,10,4.1,M,Pusat gempa di laut 123 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M4,D1,M4D1
2/7/2017,-8.33,109.08,30,3.1,MLv,Pusat gempa di laut 70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
2/8/2017,-7.63,113.54,17,2.9,MLv,Pusat gempa di laut 27 km TimurLaut KAB-PROBOLINGGO-JATIM,TIDAK,M2,D1,M2D1
2/9/2017,-8.91,111.36,30,3.5,MLv,Pusat gempa di laut 85 km Tenggata Pacitan Jatim,TIDAK,M3,D1,M3D1
2/10/2017,-8.62,110.74,10,3.3,MLv,Pusat gempa di laut 62 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
2/11/2017,-9.14,113.48,10,3.1,M,Pusat gempa di laut 110 km Barat Daya Jember - Jawa Timur,TIDAK,M3,D1,M3D1
2/12/2017,-8.92,110.68,10,3.6,MLv,Pusat gempa 94 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
2/13/2017,-5.6,116.3489728,22,0,,,,,,
2/14/2017,-6.9,109.7192138,22,0,,,,,,
2/15/2017,-8.85,110.51,10,2.8,MLv,Pusat gempa di laut 91 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
2/16/2017,-6.8,111.2619164,22,0,,,,,,
2/17/2017,-8.66,110.03,11,2.9,MLv,Pusat gempa di laut 91 km BaratDaya Bantul DIY,TIDAK,M2,D1,M2D1
2/18/2017,-8.51,110.72,21,2.5,MLv,Pusat gempa di laut 54 km Tenggara GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
2/19/2017,0.5,117.1083995,22,0,,,,,,
2/20/2017,-8.3,109.8,39,3.4,MLv,Pusat gempa di laut 66 km BaratDaya KULONPROGO-D.I Yogyakarta,TIDAK,M3,D1,M3D1
2/21/2017,-8.28,109.29,20,3.1,MLv,Pusat gempa di laut 71 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
2/22/2017,-9.55,112.76,10,3.3,MLv,Pusat gempa di laut 145 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
2/23/2017,-10.1,112.35,10,3.2,MLv,Pusat gempa di laut 210 km BaratDaya KAB-MALANG JATIM,TIDAK,M3,D1,M3D1
2/24/2017,-6.6,116.9048419,22,0,,,,,,
2/25/2017,-8.66,111.33,13,3.1,MLv,"Pusat gempa di laut, 58 km Tenggara Pacitan Jatim",TIDAK,M3,D1,M3D1
2/26/2017,-8.18,108.76,85,3.9,M,Pusat gempa di laut 56 km Tenggara Kab. Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2
2/27/2017,-8.77,112.16,31,2.7,MLv,Pusat gempa di laut 71 km BaratDaya Blitar JATIM,TIDAK,M2,D1,M2D1
2/28/2017,-9.27,113.28,10,4.3,MLv,Pusat gempa dilaut 130 km BaratDaya JEMBER-JATIM,TIDAK,M4,D1,M4D1
3/1/2017,-9.2,113.5,21,2.7,MLv,Pusat gempa di laut 116 km Barat daya Jember - Jawa Timur,TIDAK,M2,D1,M2D1
3/2/2017,-8.36,110.6,59,3,MLv,Pusat gempa di laut 36 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/3/2017,-3.7,114.1087795,30,0,,,,,,
3/4/2017,-5.6,117.1709324,30,0,,,,,,
3/5/2017,-9.02,110.55,7,3.2,MLv,Pusat gempa di laut 110 km barat daya Gunungkidul-DIY,TIDAK,M3,D1,M3D1
3/6/2017,-1.4,119.5218648,30,0,,,,,,
3/7/2017,-8.73,110.31,10,2.6,MLv,Pusat gempa di laut 90 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/8/2017,-8.91,110.23,35,4.7,MLv,Pusat gempa dilaut 106 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M4,D1,M4D1
3/9/2017,-7.56,109.9,10,2.9,MLv,Pusat gempa di darat 21 km Selatan WONOSOBO JATENG,TIDAK,M2,D1,M2D1
3/10/2017,-1.9,112.8888859,32,0,,,,,,
3/11/2017,-8.67,110.16,21,2.8,MLv,Pusat gempa dilaut 88 km BaratDaya BANTUL-D.I. Yogyakarta,TIDAK,M2,D1,M2D1
3/12/2017,-7.62,111.46,6,2.4,MLv,"Pusat gempa di darat, 7km Barat Laut Kota Madiun Jatim",TIDAK,M2,D1,M2D1
3/13/2017,-8.76,113.46,91,4,MLv,Pusat gempa di laut 70 km BaratDaya JEMBER-JATIM,TIDAK,M3,D2,M3D2
3/14/2017,-5.78,110.1,552,5,MLv,Pusat gempa di laut 108 km BaratLaut JEPARA-JATENG,TIDAK,M4,D3,M4D3
3/15/2017,-9.13,110.08,8,4.6,MLv,Pusat gempa di laut 135 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M4,D1,M4D1
3/16/2017,-9.26,112.9,11,3.2,MLv,"Pusat gempa dilaut,114 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1
3/17/2017,-5.5,107.3402482,32,0,,,,,,
3/18/2017,-10.64,113.69,30,3.9,MLv,Pusat gempa di laut 273 km BaratDaya JEMBRANA-BALI,TIDAK,M3,D1,M3D1
3/19/2017,-1.4,118.0880256,32,0,,,,,,
3/20/2017,-7.6,111.78,12,2.6,MLv,Pusat gempa di darat 13 km BaratLaut NGANJUK-JATIM,TIDAK,M2,D1,M2D1
3/21/2017,-2.5,112.7241451,32,0,,,,,,
3/22/2017,-8.68,110.79,29,3,MLv,"Pusat gempa di laut, 65 km Barat Daya Pacitan Jatim",TIDAK,M2,D1,M2D1
3/23/2017,-9.56,112.42,10,3.1,MLv,Pusat gempa di laut 150 km Barat Daya Malang - Jawa Timur,TIDAK,M3,D1,M3D1
3/24/2017,-2.8,113.5494869,32,0,,,,,,
3/25/2017,-6,116.8433432,32,0,,,,,,
3/26/2017,-6,115.7309284,32,0,,,,,,
3/27/2017,-9.01,109.87,10,3.5,MLv,Pusat gempa di laut 133 km BaratDaya BANTUL-DIY,TIDAK,M3,D1,M3D1
3/28/2017,-9.31,111.28,10,3.9,MLv,Pusat gempa di laut 127 km tenggara Pacitan,TIDAK,M3,D1,M3D1
3/29/2017,-8.33,109.05,20,3.2,MLv,Pusat gempa di laut70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
3/30/2017,-8.63,110.37,29,2.8,MLv,Pusat gempa di laut 78 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/31/2017,-8.81,112.49,24,2.6,MLv,Pusat gempa dilaut 67 km baratdaya Kab. Malang-Jatim,TIDAK,M2,D1,M2D1
4/1/2017,-8.25,109.05,10,2.9,MLv,Pusat gempa di laut 61 km Tenggara Cilacap - Jawa Tengah,TIDAK,M2,D1,M2D1
4/2/2017,-8.28,109.03,30,2.8,MLv,Pusat gempa di laut 64 km Tenggara CILACAP-JATENG,TIDAK,M2,D1,M2D1
4/3/2017,-8.75,108.68,10,2.8,MLv,Pusat gempa di laut 118 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M2,D1,M2D1
4/4/2017,-8.28,110.31,15,2.8,MLv,Pusat gempa di laut 40 km Barat Daya Bantul - D.I. Yogyakarta,TIDAK,M2,D1,M2D1
4/5/2017,-8.58,108.83,16,3.4,MLv,Pusat gempa dilaut 100 km BaratDaya Cilacap-Jawa Tengah,TIDAK,M3,D1,M3D1
4/6/2017,-8.65,109.67,10,3.1,MLv,Pusat gempa di laut 103 km BaratDaya KULONPROGO-DIY,TIDAK,M3,D1,M3D1
4/7/2017,-8.47,108.97,10,2.8,MLv,Pusat gempa di laut 85 km BaratDaya CILACAP-JATENG,TIDAK,M2,D1,M2D1
4/8/2017,-8.9,112.42,25,3,MLv,Pusat gempa di laut 80 km Barat Daya Kab. Malang - Jawa Timur,TIDAK,M2,D1,M2D1
4/9/2017,-8.34,109.06,20,3.2,MLv,"Pusat gempa di laut, 67 km Tenggara Cilacap Jateng",TIDAK,M3,D1,M3D1
4/10/2017,-10.41,113.07,30,3.8,MLv,"Pusat gempa dilaut, 244 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1
4/11/2017,-9.45,112.82,8,2.8,MLv,"Pusat gempa dilaut, 134 km Tenggara Kab. Malang Jatim",TIDAK,M2,D1,M2D1
4/12/2017,-8.86,109.91,12,3,MLv,Pusat gempa di laut 117 km BaratDaya BANTUL-DIY,TIDAK,M2,D1,M2D1
4/13/2017,-9.04,112.81,21,3.1,MLv,Pusat gempa di laut 89 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
4/14/2017,-9.43,112.88,10,4.3,MLv,Pusat gempa dilaut 133 km Tenggara kab Malang-Jawa Timur,TIDAK,M4,D1,M4D1
4/15/2017,-9.56,112.85,10,3.4,MLv,Pusat gempa di laut 147 km Tenggara  Kab. Malang Jawa Timur,TIDAK,M3,D1,M3D1
4/16/2017,-9.22,112.86,10,3.7,MLv,"Pusat gempa di laut, 109 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
4/17/2017,-0.2,107.0052452,42,0,,,,,,
4/18/2017,-8.73,111.45,85,3.1,MLv,Pusat gempa di laut 72 km Tenggara PACITAN-JATIM,TIDAK,M3,D2,M3D2
4/19/2017,-8.98,112.69,30,2.8,MLv,Pusat gempa di laut 82 km Barat Daya Malang - Jawa Timur,TIDAK,M2,D1,M2D1
4/20/2017,-2.3,117.4992227,42,0,,,,,,
4/21/2017,-9.56,111.71,10,3.9,MLv,Pusat gempa berada dilaut 163km Barat Daya Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1
4/22/2017,-9.6,112.62,10,3.4,MLv,Pusat gempa dilaut 151 km BaratDaya Malang - Jawa Timur,TIDAK,M3,D1,M3D1
4/23/2017,-7.62,110.51,10,2.6,MLv,Pusat gempa di darat 13 Km Barat Daya Boyolali Jawa Tengah,TIDAK,M2,D1,M2D1
4/24/2017,-6.8,115.4443845,42,0,,,,,,
4/25/2017,-7.09,111.89,11,3.3,MLv,Pusat gempa di darat 6 km TimurLaut BOJONEGORO-JATIM,TIDAK,M3,D1,M3D1
4/26/2017,-7.6,109.0272034,42,0,,,,,,
4/27/2017,-8.89,112.41,53,4.6,MLv,"Pusat gempa di laut 79 km BaratDaya KAB-MALANG-JATIM, Dirasakan di Trenggalek, Ponorogo,Tulungagung, Blitar II SIG-BMKG (II-III MMI)",YA,M4,D1,M4D1
4/28/2017,-7.99,111.75,118,3,MLv,Pusat gempa di darat 11 km TimurLaut TRENGGALEK JAWA TIMUR,TIDAK,M2,D2,M2D2
4/29/2017,-9.74,111.75,10,3.8,MLv,"Pusat gempa di laut, 183 km Tenggara Trenggalek Jatim",TIDAK,M3,D1,M3D1
4/30/2017,-9.06,111.75,10,3.3,MLv,Pusat gempa di laut 108 km Tenggara Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1
5/1/2017,-9.06,110.51,10,3.6,MLv,Pusat gempa di laut 114 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1
5/2/2017,-8.97,110.86,9,3.3,MLv,Pusat gempa di laut 90 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
5/3/2017,-9.8,111.76,10,3.8,MLv,Pusat gempa di laut 190 km Tenggara Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1
5/4/2017,-8.79,110.65,15,2.8,MLv,Pusat gempa di laut 84 km BaratDaya PACITAN-JATIM,TIDAK,M2,D1,M2D1
5/5/2017,-5.84,110.02,555,4.9,MLv,Pusat gempa dilaut 109 km baratlaut Jepara-Jateng,TIDAK,M4,D3,M4D3
5/6/2017,-8.69,110.07,12,3.6,MLv,"Pusat gempa di laut,92 km Barat Daya Bantul DIY",TIDAK,M3,D1,M3D1
5/7/2017,-8.4,108.79,10,4.4,MLv,Pusat gempa di laut 81 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M4,D1,M4D1
5/8/2017,-2.2,113.8397476,50,0,,,,,,
5/9/2017,-8.86,111.33,10,2.9,MLv,Pusat gempa di laut 60 km Tenggara PACITAN-JATIM,TIDAK,M2,D1,M2D1
5/10/2017,-4,116.0340212,52,0,,,,,,
5/11/2017,-10,113.24,10,4,MLv,Pusat gempa dilaut 203 km Tenggara KAB-MALANG-JATIM.,TIDAK,M3,D1,M3D1
5/12/2017,0.8,110.7306874,52,0,,,,,,
5/13/2017,-6.9,112.3295687,52,0,,,,,,
5/14/2017,-8.93,111.25,10,3,MLv,Pusat gempa dilaut 84 km tenggara Pacitan,TIDAK,M2,D1,M2D1
5/15/2017,0.8,119.5246026,52,0,,,,,,
5/16/2017,-8.81,110.81,18,3.9,MLv,"Pusat gempa di laut, 77 km BaratDaya PACITAN-JATIM)",TIDAK,M3,D1,M3D1
5/17/2017,-0.4,119.6811615,52,0,,,,,,
5/18/2017,-1,112.3439268,52,0,,,,,,
5/19/2017,-5.3,110.9654453,52,0,,,,,,
5/20/2017,-7.36,111.8,21,2.6,MLv,Pusat gempa di darat 25 km Barat Daya Bojonegoro Jatim,TIDAK,M2,D1,M2D1
5/21/2017,-9.14,112.98,20,2.8,MLv,Pusat gempa di Laut 104 km Tenggara Malang - Jawa Timur,TIDAK,M2,D1,M2D1
5/22/2017,-1,118.4713441,52,0,,,,,,
5/23/2017,-9.03,111.35,10,3.7,M,Pusat gempa di laut 98 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
5/24/2017,-9.01,111.97,10,5.7,M,"Pusat gempa di laut 101 km Barat Daya Kab. Blitar - Jawa Timur, Dirasakan di Karangkates, Batu, Malang, Blitar, Nganjuk, Tulungagung, Kediri, Wonogiri, Bantul II SIG-BMKG (III MMI) ::BMKG",YA,M5,D1,M5D1
5/25/2017,-8.88,110.27,10,3.3,MLv,Pusat gempa berada di laut 101 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M3,D1,M3D1
5/26/2017,-7.39,110.36,114,2.6,MLv,Pusat gempa di darat 17 km Barat Daya Salatiga JawaTengah,TIDAK,M2,D2,M2D2
5/27/2017,-8.95,109.99,16,3.3,MLv,Pusat gempa di laut 123km barat daya Bantul Yogyakarta,TIDAK,M3,D1,M3D1
5/28/2017,-0.6,115.2686123,52,0,,,,,,
5/29/2017,-9.5,111.8,10,3.5,MLv,Pusat gempa di laut 157 km BaratDaya TULUNGAGUNG-JATIM,TIDAK,M3,D1,M3D1
5/30/2017,-8.61,109.72,20,3.2,MLv,Pusat gempa dilaut 100 km baratdaya Kulonprogo-DIY,TIDAK,M3,D1,M3D1
5/31/2017,-3.4,119.0027847,52,0,,,,,,
6/1/2017,-8.59,109.85,37,3,MLv,Pusat gempa di laut 91 km BaratDaya Kulonprogo-DIY,TIDAK,M2,D1,M2D1
6/2/2017,-8.47,108.93,8,3.3,MLv,Pusat gempa di laut 86 km Barat Daya Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1
6/3/2017,-9.25,113.43,10,3.5,MLv,Pusat gempa di laut 123 km BaratDaya Jember Jatim,TIDAK,M3,D1,M3D1
6/4/2017,-9.19,113.49,23,3.3,MLv,"Pusat gempa di laut, 115 km Baratdaya Jember - JATIM",TIDAK,M3,D1,M3D1
6/5/2017,-6.1,107.7221748,60,0,,,,,,
6/6/2017,-6.2,118.719955,60,0,,,,,,
6/7/2017,-10.98,111.21,33,4,MLv,Pusat gempa di laut 309 km Tenggara PACITAN-JATIM,TIDAK,M3,D1,M3D1
6/8/2017,-7.37,110.64,10,2.6,MLv,Pusat gempa didarat 15 km tenggara Salatiga-Jateng,TIDAK,M2,D1,M2D1
6/9/2017,-9.89,108.61,10,4,MLv,Pusat gempa di laut 245 km BaratDaya Pangandaran - Jawa Barat,TIDAK,M3,D1,M3D1
6/10/2017,-9.13,112.59,10,3.1,MLv,Pusat gempa di laut 99 km BaratDaya KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
6/11/2017,-9.88,112.89,10,3.6,MLv,"Pusat gempa di laut, 183 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
6/12/2017,-8.81,110.48,26,2.8,MLv,Pusat gempa di laut 87 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
6/13/2017,-8.22,109.55,98,3.3,MLv,Pusat gempa di laut 62 km Barat Daya Kebumen - Jawa Tengah,TIDAK,M3,D2,M3D2
6/14/2017,0.2,116.5122591,62,0,,,,,,
6/15/2017,-8.5,112.65,137,2.8,MLv,Pusat gempa di laut 29 km BaratDaya Malang - Jawa Timur,TIDAK,M2,D2,M2D2
6/17/2017,-8.78,111.08,20,3.3,MLv,Pusat gempa di laut 66 km Barat Daya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
6/18/2017,-8.42,109.04,30,3.1,MLv,Pusat gempa di laut 80 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1
6/19/2017,-1.3,109.8709374,62,0,,,,,,
6/20/2017,-8.99,113.76,117,2.4,MLv,Pusat gempa di laut 91 km Tenggara Jember - Jawa Timur,TIDAK,M2,D2,M2D2
6/21/2017,-9.43,111.42,83,3.1,MLv,pusat gempa di laut 141 km Tenggara Pacitan,TIDAK,M3,D2,M3D2
6/22/2017,-8.64,109.9,20,3.1,MLv,"Pusat gempa di laut, 94 km BaratDaya KULONPROGO-DIY",TIDAK,M3,D1,M3D1
6/23/2017,-2.6,106.1032013,62,0,,,,,,
6/24/2017,-2.5,118.6396579,62,0,,,,,,
6/25/2017,-2,107.3258939,62,0,,,,,,
6/26/2017,-9.42,113.98,10,2.5,MLv,Pusat gempa di laut 137 km BaratDaya JEMBRANA-BALI,TIDAK,M2,D1,M2D1
6/27/2017,-9.32,113.02,19,3.1,MLv,Pusat gempa di laut 124 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1
6/28/2017,-8.89,112.61,16,3.6,MLv,Pusat gempa di laut 72 km baratdaya Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
6/30/2017,-7.57,111.32,66,2.7,MLv,Pusat gempa di laut 9 km BaratLaut Magetan-Jatim,TIDAK,M2,D2,M2D2
7/1/2017,-7.66,111.19,6,2.7,MLv,Pusat gempa di darat 16 km BaratDaya Magetan - Jawa Timur,TIDAK,M2,D1,M2D1
7/2/2017,-9.28,110.3,10,3.8,MLv,Pusat gempa dilaut 143 km Baratdaya Gunungkidul - DIY,TIDAK,M3,D1,M3D1
7/3/2017,-7.74,110.37,120,2.6,MLv,Pusat gempa berada di darat 4 km Tenggara Sleman - D.I. Yogyakarta,TIDAK,M2,D2,M2D2
7/4/2017,-1.5,115.4680347,70,0,,,,,,
7/5/2017,0.6,107.830126,70,0,,,,,,
7/6/2017,-6.8,107.2048192,70,0,,,,,,
7/7/2017,-8.82,109.9,10,3.1,MLv,Pusat gempa di laut 112 km BaratDaya Bantul - DIY,TIDAK,M3,D1,M3D1
7/8/2017,-9.35,112.01,25,3.2,MLv,Pusat gempa di laut 137 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M3,D1,M3D1
7/9/2017,0.2,116.7103517,70,0,,,,,,
7/10/2017,-9.04,113.04,10,3,MLv,Pusat gempa di laut 95 km Tenggara Malang - Jawa Timur,TIDAK,M2,D1,M2D1
7/11/2017,-8.64,108.55,50,3.1,MLv,Pusat gempa di laut 106 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D1,M3D1
7/12/2017,-5.2,108.5830264,72,0,,,,,,
7/13/2017,-3.6,115.9800462,72,0,,,,,,
7/14/2017,-8.74,110.55,30,4.2,MLv,"Pusat Gempa berada di laut 79 km Barat Daya Gunung Kidul - DIY, Dirasakan di Bantul, Sleman, Yogyakarta II SIG-BMKG (III MMI)",YA,M4,D1,M4D1
7/15/2017,-3.8,114.4482832,72,0,,,,,,
7/16/2017,-8.73,113.28,133,3.4,MLv,Pusat gempa di laut 72 km Tenggara LUMAJANG-JATIM,TIDAK,M3,D2,M3D2
7/17/2017,-9.54,111.9,11,4.5,MLv,Pusat gempa di laut 160 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M4,D1,M4D1
7/18/2017,-7.4,119.2603924,72,0,,,,,,
7/19/2017,-9.23,113.18,30,3.5,MLv,Pusat gempa di laut 121 km Tenggara malang - Jawa Timur,TIDAK,M3,D1,M3D1
7/20/2017,-9.04,110.47,10,5.3,MLv,"Pusat gempa dilaut 113 km baratdya Gunungkidul-DIY, Dirasakan di Yogyakarta II SIG (II-III MMI),Trenggalek, Nganjuk I SIG (I-II MMI)",YA,M5,D1,M5D1
7/21/2017,-8.57,108.73,10,4.7,MLv,Pusat gempa di laut 98 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M4,D1,M4D1
7/22/2017,-8.25,110.45,21,2.6,MLv,Pusat gemps di laut 30 km Barat Daya  Gunung Kidul - DIY,TIDAK,M2,D1,M2D1
7/23/2017,-6.78,112.51,10,4.4,MLv,"Pusat gempa di laut 39 km Timur Laut Lamongan - Jawa Timur dirasakan di Tuban, Lamongan dan Gresik II SIG BMKG (II-III MMI)",YA,M4,D1,M4D1
7/24/2017,-9.36,112.77,10,3.6,MLv,Pusat gempa di laut 124 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
7/25/2017,-7.36,111.66,16,3.2,MLv,Pusat gempa di darat 23 km TimurLaut NGAWI-JATIM,TIDAK,M3,D1,M3D1
7/26/2017,-1.5,118.0751793,72,0,,,,,,
7/27/2017,-8.88,110.6,10,3.7,MLv,Pusat gempa di laut 94 km BaratDaya Gunungkidul-DIY,TIDAK,M3,D1,M3D1
7/28/2017,-9.14,113.03,12,4,MLv,Pusat gempa berada di laut 105 km Tenggara Kab.Malang - Jawa Timur,TIDAK,M3,D1,M3D1
7/29/2017,-9.69,111.94,10,3.7,MLv,Pusat gempa di laut 175 km Barat Daya Kab. Blitar - Jawa Timur,TIDAK,M3,D1,M3D1
7/31/2017,-8.43,109.07,10,3.4,MLv,Pusat gempa di laut 78 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
8/1/2017,-9.54,113.74,7,4.4,MLv,Pusat Gempa d Laut 151 km Tenggara Jember - Jawa Timur,TIDAK,M4,D1,M4D1
8/2/2017,-9.43,110.44,10,3.9,M,Pusat gempa di laut 156 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1
8/3/2017,-9.65,113.91,10,3.5,M,Pusat gempa di Laut 163 km BartDaya Jembaran - Bali,TIDAK,M3,D1,M3D1
8/4/2017,-8.68,113.71,105,3.3,MLv,"Pusat gempa di laut, 56 km Tenggara JEMBER-JATIM",TIDAK,M3,D2,M3D2
8/5/2017,-10.64,113.47,20,3.8,MLv,Pusat gempa di laut 275 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
8/6/2017,-9.27,110.84,10,3.4,M,Pusat gempa di laut 124 km Barat Daya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
8/7/2017,-8.29,110.21,89,2.9,MLv,Pusat gempa di laut 45 km BaratDaya BANTUL-DIY,TIDAK,M2,D2,M2D2
8/8/2017,-10.64,113.2,20,4.1,MLv,Pusat gempa di Laut 271 km Tenggara kab Malang - Jawa Timur,TIDAK,M4,D1,M4D1
8/9/2017,-9.7,113.16,10,4.1,MLv,Pusat gempa dilaut 169 km tenggara Kab. Malang-Jatim,TIDAK,M4,D1,M4D1
8/10/2017,-8.11,110.45,5,2.5,MLv,Pusat gempa di laut 20 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
8/11/2017,-8.49,110.11,42,4,MLv,Pusat gempa di laut 70 km BaratDaya BANTUL-DIY,TIDAK,M3,D1,M3D1
8/12/2017,-8.9,112.12,30,3.5,MLv,Pusat gempa di laut 86 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M3,D1,M3D1
8/13/2017,-8.86,110.68,10,3.9,MLv,Pusat gempa di laut 89 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
8/14/2017,-8.79,110.47,20,3.2,MLv,Pusat gempa di laut 85 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1
8/15/2017,-8.59,108.82,62,3.9,MLv,Pusat Gempa di laut 101 km Barat Daya Cilacap - Jawa Tengah,TIDAK,M3,D2,M3D2
8/16/2017,-8.52,110.85,8,3,MLv,Pusat gempa di laut 47 km BaratDaya PACITAN-JATIM,TIDAK,M2,D1,M2D1
8/17/2017,-9.62,113.73,10,3.3,MLv,Pusat gempa di laut 160 km Tenggara JEMBER-JATIM,TIDAK,M3,D1,M3D1
8/18/2017,-11.21,112.22,10,4.5,MLv,"Pusat gempa di laut, 334 km Barat Daya Kab. Malang Jatim",TIDAK,M4,D1,M4D1
8/19/2017,-9.7,109.24,10,4,MLv,"Pusat gempa di laut, 223 km Tenggara CILACAP-JATENG",TIDAK,M3,D1,M3D1
8/20/2017,-8.05,110.95,108,2.9,MLv,Pusat gempa di darat 21 km BaratDaya WONOGIRI-JATENG,TIDAK,M2,D2,M2D2
8/21/2017,-8.69,110.31,16,3.3,MLv,Pusat gempa di laut 80 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1
8/22/2017,-9.38,113.5,10,3.3,MLv,Pusat gempa di laut 135 km Barat Daya  Jember - Jawa Timur,TIDAK,M3,D1,M3D1
8/23/2017,-8.57,108.55,30,3.7,MLv,Pusat gempa di laut 99 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D1,M3D1
8/24/2017,-9.5,112.79,20,3.7,MLv,Pusat gempa di laut 140 km Tenggara KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1
8/25/2017,-8.52,108.6,60,3.3,MLv,Pusat gempa di laut 93 km Barat Daya Kab. Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2
8/27/2017,-10.56,111.06,10,5.5,M,Pusat gempa di laut 264 km Barat Daya Pacitan - Jawa Timur,TIDAK,M5,D1,M5D1
8/28/2017,-2.3,117.0938311,82,0,,,,,,
8/29/2017,-8.59,109.98,10,3,MLv,Pusat gempa di laut 86 km BaratDaya BANTUL-DIY,TIDAK,M2,D1,M2D1
