Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD,No
1/26/2017,18:00:00,-7.99,111.2,10,3.2,MLv,Pusat gempa di darat 20 km Tenggara WONOGIRI-JATENG,TIDAK,M3,D1,M3D1,26
1/27/2017,19:00:00,0.4,118.7291661,12,0,,,,,,,27
1/28/2017,09:28:37,-9.44,113.06,10,4.7,M,Pusat gempa di laut 138 km Tenggara MALANG-JATIM,TIDAK,M4,D1,M4D1,28
1/29/2017,11:57:24,-9.73,112.87,10,4.9,MLv,Pusat gempa di laut 166 km tenggara Kab. Malang-Jatim,TIDAK,M4,D1,M4D1,29
1/30/2017,05:46:55,-8.34,108.54,103,3.5,MLv,"Pusat gempa di laut,74 km Barat Daya Pangandaran Jabar",TIDAK,M3,D2,M3D2,30
1/31/2017,06:46:55,-6.7,114.9364375,12,0,,,,,,,31
2/1/2017,05:48:40,-7.48,109,216,3.3,MLv,Pusat gempa di darat 15 km Barat Laut Banyumas Jateng,TIDAK,M3,D2,M3D2,32
2/2/2017,14:24:06,-9,111.32,20,3.2,MLv,Pusat gempa di laut 94 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1,33
2/3/2017,21:55:51,-10.04,113.38,10,3.8,MLv,pusat gempa di laut 210 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1,34
2/4/2017,11:54:37,-8.52,108.62,60,3.5,MLv,Pusat gempa di laut 93 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D2,M3D2,35
2/5/2017,12:54:37,-8.0,119.6176294,20,0,,,,,,,36
2/6/2017,21:21:12,-9.23,112.08,10,4.1,M,Pusat gempa di laut 123 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M4,D1,M4D1,37
2/7/2017,04:21:21,-8.33,109.08,30,3.1,MLv,Pusat gempa di laut 70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1,38
2/8/2017,19:35:27,-7.63,113.54,17,2.9,MLv,Pusat gempa di laut 27 km TimurLaut KAB-PROBOLINGGO-JATIM,TIDAK,M2,D1,M2D1,39
2/9/2017,19:09:18,-8.91,111.36,30,3.5,MLv,Pusat gempa di laut 85 km Tenggata Pacitan Jatim,TIDAK,M3,D1,M3D1,40
2/10/2017,06:33:58,-8.62,110.74,10,3.3,MLv,Pusat gempa di laut 62 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1,41
2/11/2017,05:43:57,-9.14,113.48,10,3.1,M,Pusat gempa di laut 110 km Barat Daya Jember - Jawa Timur,TIDAK,M3,D1,M3D1,42
2/12/2017,05:41:48,-8.92,110.68,10,3.6,MLv,Pusat gempa 94 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1,43
2/13/2017,06:41:48,-5.6,116.3489728,22,0,,,,,,,44
2/14/2017,07:41:48,-6.9,109.7192138,22,0,,,,,,,45
2/15/2017,11:27:48,-8.85,110.51,10,2.8,MLv,Pusat gempa di laut 91 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,46
2/16/2017,12:27:48,-6.8,111.2619164,22,0,,,,,,,47
2/17/2017,12:25:24,-8.66,110.03,11,2.9,MLv,Pusat gempa di laut 91 km BaratDaya Bantul DIY,TIDAK,M2,D1,M2D1,48
2/18/2017,12:20:32,-8.51,110.72,21,2.5,MLv,Pusat gempa di laut 54 km Tenggara GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,49
2/19/2017,13:20:32,0.5,117.1083995,22,0,,,,,,,50
2/20/2017,05:57:45,-8.3,109.8,39,3.4,MLv,Pusat gempa di laut 66 km BaratDaya KULONPROGO-D.I Yogyakarta,TIDAK,M3,D1,M3D1,51
2/21/2017,12:08:48,-8.28,109.29,20,3.1,MLv,Pusat gempa di laut 71 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1,52
2/22/2017,17:21:24,-9.55,112.76,10,3.3,MLv,Pusat gempa di laut 145 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1,53
2/23/2017,21:26:29,-10.1,112.35,10,3.2,MLv,Pusat gempa di laut 210 km BaratDaya KAB-MALANG JATIM,TIDAK,M3,D1,M3D1,54
2/24/2017,22:26:29,-6.6,116.9048419,22,0,,,,,,,55
2/25/2017,22:51:59,-8.66,111.33,13,3.1,MLv,"Pusat gempa di laut, 58 km Tenggara Pacitan Jatim",TIDAK,M3,D1,M3D1,56
2/26/2017,13:04:01,-8.18,108.76,85,3.9,M,Pusat gempa di laut 56 km Tenggara Kab. Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2,57
2/27/2017,02:43:03,-8.77,112.16,31,2.7,MLv,Pusat gempa di laut 71 km BaratDaya Blitar JATIM,TIDAK,M2,D1,M2D1,58
2/28/2017,01:01:40,-9.27,113.28,10,4.3,MLv,Pusat gempa dilaut 130 km BaratDaya JEMBER-JATIM,TIDAK,M4,D1,M4D1,59
3/1/2017,10:32:26,-9.2,113.5,21,2.7,MLv,Pusat gempa di laut 116 km Barat daya Jember - Jawa Timur,TIDAK,M2,D1,M2D1,60
3/2/2017,08:51:55,-8.36,110.6,59,3,MLv,Pusat gempa di laut 36 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,61
3/3/2017,09:51:55,-3.7,114.1087795,30,0,,,,,,,62
3/4/2017,10:51:55,-5.6,117.1709324,30,0,,,,,,,63
3/5/2017,11:59:28,-9.02,110.55,7,3.2,MLv,Pusat gempa di laut 110 km barat daya Gunungkidul-DIY,TIDAK,M3,D1,M3D1,64
3/6/2017,12:59:28,-1.4,119.5218648,30,0,,,,,,,65
3/7/2017,02:53:01,-8.73,110.31,10,2.6,MLv,Pusat gempa di laut 90 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,66
3/8/2017,02:15:10,-8.91,110.23,35,4.7,MLv,Pusat gempa dilaut 106 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M4,D1,M4D1,67
3/9/2017,13:10:11,-7.56,109.9,10,2.9,MLv,Pusat gempa di darat 21 km Selatan WONOSOBO JATENG,TIDAK,M2,D1,M2D1,68
3/10/2017,14:10:11,-1.9,112.8888859,32,0,,,,,,,69
3/11/2017,08:43:11,-8.67,110.16,21,2.8,MLv,Pusat gempa dilaut 88 km BaratDaya BANTUL-D.I. Yogyakarta,TIDAK,M2,D1,M2D1,70
3/12/2017,15:44:01,-7.62,111.46,6,2.4,MLv,"Pusat gempa di darat, 7km Barat Laut Kota Madiun Jatim",TIDAK,M2,D1,M2D1,71
3/13/2017,14:22:10,-8.76,113.46,91,4,MLv,Pusat gempa di laut 70 km BaratDaya JEMBER-JATIM,TIDAK,M3,D2,M3D2,72
3/14/2017,04:36:29,-5.78,110.1,552,5,MLv,Pusat gempa di laut 108 km BaratLaut JEPARA-JATENG,TIDAK,M4,D3,M4D3,73
3/15/2017,02:34:02,-9.13,110.08,8,4.6,MLv,Pusat gempa di laut 135 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M4,D1,M4D1,74
3/16/2017,02:36:01,-9.26,112.9,11,3.2,MLv,"Pusat gempa dilaut,114 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1,75
3/17/2017,03:36:01,-5.5,107.3402482,32,0,,,,,,,76
3/18/2017,13:11:33,-10.64,113.69,30,3.9,MLv,Pusat gempa di laut 273 km BaratDaya JEMBRANA-BALI,TIDAK,M3,D1,M3D1,77
3/19/2017,14:11:33,-1.4,118.0880256,32,0,,,,,,,78
3/20/2017,05:31:06,-7.6,111.78,12,2.6,MLv,Pusat gempa di darat 13 km BaratLaut NGANJUK-JATIM,TIDAK,M2,D1,M2D1,79
3/21/2017,06:31:06,-2.5,112.7241451,32,0,,,,,,,80
3/22/2017,14:15:47,-8.68,110.79,29,3,MLv,"Pusat gempa di laut, 65 km Barat Daya Pacitan Jatim",TIDAK,M2,D1,M2D1,81
3/23/2017,12:10:42,-9.56,112.42,10,3.1,MLv,Pusat gempa di laut 150 km Barat Daya Malang - Jawa Timur,TIDAK,M3,D1,M3D1,82
3/24/2017,13:10:42,-2.8,113.5494869,32,0,,,,,,,83
3/25/2017,14:10:42,-6.0,116.8433432,32,0,,,,,,,84
3/26/2017,15:10:42,-6.0,115.7309284,32,0,,,,,,,85
3/27/2017,07:54:18,-9.01,109.87,10,3.5,MLv,Pusat gempa di laut 133 km BaratDaya BANTUL-DIY,TIDAK,M3,D1,M3D1,86
3/28/2017,12:50:30,-9.31,111.28,10,3.9,MLv,Pusat gempa di laut 127 km tenggara Pacitan,TIDAK,M3,D1,M3D1,87
3/29/2017,03:49:54,-8.33,109.05,20,3.2,MLv,Pusat gempa di laut70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1,88
3/30/2017,00:24:50,-8.63,110.37,29,2.8,MLv,Pusat gempa di laut 78 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,89
3/31/2017,01:38:27,-8.81,112.49,24,2.6,MLv,Pusat gempa dilaut 67 km baratdaya Kab. Malang-Jatim,TIDAK,M2,D1,M2D1,90
4/1/2017,00:22:47,-8.25,109.05,10,2.9,MLv,Pusat gempa di laut 61 km Tenggara Cilacap - Jawa Tengah,TIDAK,M2,D1,M2D1,91
4/2/2017,03:43:41,-8.28,109.03,30,2.8,MLv,Pusat gempa di laut 64 km Tenggara CILACAP-JATENG,TIDAK,M2,D1,M2D1,92
4/3/2017,23:49:51,-8.75,108.68,10,2.8,MLv,Pusat gempa di laut 118 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M2,D1,M2D1,93
4/4/2017,21:29:13,-8.28,110.31,15,2.8,MLv,Pusat gempa di laut 40 km Barat Daya Bantul - D.I. Yogyakarta,TIDAK,M2,D1,M2D1,94
4/5/2017,02:54:24,-8.58,108.83,16,3.4,MLv,Pusat gempa dilaut 100 km BaratDaya Cilacap-Jawa Tengah,TIDAK,M3,D1,M3D1,95
4/6/2017,05:46:38,-8.65,109.67,10,3.1,MLv,Pusat gempa di laut 103 km BaratDaya KULONPROGO-DIY,TIDAK,M3,D1,M3D1,96
4/7/2017,13:32:46,-8.47,108.97,10,2.8,MLv,Pusat gempa di laut 85 km BaratDaya CILACAP-JATENG,TIDAK,M2,D1,M2D1,97
4/8/2017,05:30:13,-8.9,112.42,25,3,MLv,Pusat gempa di laut 80 km Barat Daya Kab. Malang - Jawa Timur,TIDAK,M2,D1,M2D1,98
4/9/2017,10:11:37,-8.34,109.06,20,3.2,MLv,"Pusat gempa di laut, 67 km Tenggara Cilacap Jateng",TIDAK,M3,D1,M3D1,99
4/10/2017,08:58:21,-10.41,113.07,30,3.8,MLv,"Pusat gempa dilaut, 244 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1,100
4/11/2017,22:20:35,-9.45,112.82,8,2.8,MLv,"Pusat gempa dilaut, 134 km Tenggara Kab. Malang Jatim",TIDAK,M2,D1,M2D1,101
4/12/2017,01:19:46,-8.86,109.91,12,3,MLv,Pusat gempa di laut 117 km BaratDaya BANTUL-DIY,TIDAK,M2,D1,M2D1,102
4/13/2017,11:00:47,-9.04,112.81,21,3.1,MLv,Pusat gempa di laut 89 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1,103
4/14/2017,04:36:22,-9.43,112.88,10,4.3,MLv,Pusat gempa dilaut 133 km Tenggara kab Malang-Jawa Timur,TIDAK,M4,D1,M4D1,104
4/15/2017,09:24:19,-9.56,112.85,10,3.4,MLv,Pusat gempa di laut 147 km Tenggara  Kab. Malang Jawa Timur,TIDAK,M3,D1,M3D1,105
4/16/2017,02:56:05,-9.22,112.86,10,3.7,MLv,"Pusat gempa di laut, 109 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1,106
4/17/2017,03:56:05,-0.2,107.0052452,42,0,,,,,,,107
4/18/2017,13:47:54,-8.73,111.45,85,3.1,MLv,Pusat gempa di laut 72 km Tenggara PACITAN-JATIM,TIDAK,M3,D2,M3D2,108
4/19/2017,18:12:03,-8.98,112.69,30,2.8,MLv,Pusat gempa di laut 82 km Barat Daya Malang - Jawa Timur,TIDAK,M2,D1,M2D1,109
4/20/2017,19:12:03,-2.3,117.4992227,42,0,,,,,,,110
4/21/2017,03:38:49,-9.56,111.71,10,3.9,MLv,Pusat gempa berada dilaut 163km Barat Daya Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1,111
4/22/2017,16:23:17,-9.6,112.62,10,3.4,MLv,Pusat gempa dilaut 151 km BaratDaya Malang - Jawa Timur,TIDAK,M3,D1,M3D1,112
4/23/2017,14:42:18,-7.62,110.51,10,2.6,MLv,Pusat gempa di darat 13 Km Barat Daya Boyolali Jawa Tengah,TIDAK,M2,D1,M2D1,113
4/24/2017,15:42:18,-6.8,115.4443845,42,0,,,,,,,114
4/25/2017,04:36:02,-7.09,111.89,11,3.3,MLv,Pusat gempa di darat 6 km TimurLaut BOJONEGORO-JATIM,TIDAK,M3,D1,M3D1,115
4/26/2017,05:36:02,-7.6,109.0272034,42,0,,,,,,,116
4/27/2017,07:03:12,-8.89,112.41,53,4.6,MLv,"Pusat gempa di laut 79 km BaratDaya KAB-MALANG-JATIM, Dirasakan di Trenggalek, Ponorogo,Tulungagung, Blitar II SIG-BMKG (II-III MMI)",YA,M4,D1,M4D1,117
4/28/2017,01:49:28,-7.99,111.75,118,3,MLv,Pusat gempa di darat 11 km TimurLaut TRENGGALEK JAWA TIMUR,TIDAK,M2,D2,M2D2,118
4/29/2017,01:38:50,-9.74,111.75,10,3.8,MLv,"Pusat gempa di laut, 183 km Tenggara Trenggalek Jatim",TIDAK,M3,D1,M3D1,119
4/30/2017,01:29:09,-9.06,111.75,10,3.3,MLv,Pusat gempa di laut 108 km Tenggara Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1,120
5/1/2017,08:23:11,-9.06,110.51,10,3.6,MLv,Pusat gempa di laut 114 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1,121
5/2/2017,02:08:40,-8.97,110.86,9,3.3,MLv,Pusat gempa di laut 90 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1,122
5/3/2017,05:19:45,-9.8,111.76,10,3.8,MLv,Pusat gempa di laut 190 km Tenggara Trenggalek - Jawa Timur,TIDAK,M3,D1,M3D1,123
5/4/2017,01:06:07,-8.79,110.65,15,2.8,MLv,Pusat gempa di laut 84 km BaratDaya PACITAN-JATIM,TIDAK,M2,D1,M2D1,124
5/5/2017,02:53:34,-5.84,110.02,555,4.9,MLv,Pusat gempa dilaut 109 km baratlaut Jepara-Jateng,TIDAK,M4,D3,M4D3,125
5/6/2017,23:17:53,-8.69,110.07,12,3.6,MLv,"Pusat gempa di laut,92 km Barat Daya Bantul DIY",TIDAK,M3,D1,M3D1,126
5/7/2017,00:53:20,-8.4,108.79,10,4.4,MLv,Pusat gempa di laut 81 km Tenggara KAB-PANGANDARAN-JABAR,TIDAK,M4,D1,M4D1,127
5/8/2017,01:53:20,-2.2,113.8397476,50,0,,,,,,,128
5/9/2017,03:37:41,-8.86,111.33,10,2.9,MLv,Pusat gempa di laut 60 km Tenggara PACITAN-JATIM,TIDAK,M2,D1,M2D1,129
5/10/2017,04:37:41,-4.0,116.0340212,52,0,,,,,,,130
5/11/2017,00:34:59,-10,113.24,10,4,MLv,Pusat gempa dilaut 203 km Tenggara KAB-MALANG-JATIM.,TIDAK,M3,D1,M3D1,131
5/12/2017,01:34:59,0.8,110.7306874,52,0,,,,,,,132
5/13/2017,02:34:59,-6.9,112.3295687,52,0,,,,,,,133
5/14/2017,01:13:09,-8.93,111.25,10,3,MLv,Pusat gempa dilaut 84 km tenggara Pacitan,TIDAK,M2,D1,M2D1,134
5/15/2017,02:13:09,0.8,119.5246026,52,0,,,,,,,135
5/16/2017,21:06:20,-8.81,110.81,18,3.9,MLv,"Pusat gempa di laut, 77 km BaratDaya PACITAN-JATIM)",TIDAK,M3,D1,M3D1,136
5/17/2017,22:06:20,-0.4,119.6811615,52,0,,,,,,,137
5/18/2017,23:06:20,-1.0,112.3439268,52,0,,,,,,,138
5/19/2017,00:06:20,-5.3,110.9654453,52,0,,,,,,,139
5/20/2017,13:13:59,-7.36,111.8,21,2.6,MLv,Pusat gempa di darat 25 km Barat Daya Bojonegoro Jatim,TIDAK,M2,D1,M2D1,140
5/21/2017,02:25:32,-9.14,112.98,20,2.8,MLv,Pusat gempa di Laut 104 km Tenggara Malang - Jawa Timur,TIDAK,M2,D1,M2D1,141
5/22/2017,03:25:32,-1.0,118.4713441,52,0,,,,,,,142
5/23/2017,06:51:20,-9.03,111.35,10,3.7,M,Pusat gempa di laut 98 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1,143
5/24/2017,16:44:52,-9.01,111.97,10,5.7,M,"Pusat gempa di laut 101 km Barat Daya Kab. Blitar - Jawa Timur, Dirasakan di Karangkates, Batu, Malang, Blitar, Nganjuk, Tulungagung, Kediri, Wonogiri, Bantul II SIG-BMKG (III MMI) ::BMKG",YA,M5,D1,M5D1,144
5/25/2017,08:03:03,-8.88,110.27,10,3.3,MLv,Pusat gempa berada di laut 101 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M3,D1,M3D1,145
5/26/2017,00:04:18,-7.39,110.36,114,2.6,MLv,Pusat gempa di darat 17 km Barat Daya Salatiga JawaTengah,TIDAK,M2,D2,M2D2,146
5/27/2017,02:58:07,-8.95,109.99,16,3.3,MLv,Pusat gempa di laut 123km barat daya Bantul Yogyakarta,TIDAK,M3,D1,M3D1,147
5/28/2017,03:58:07,-0.6,115.2686123,52,0,,,,,,,148
5/29/2017,15:32:59,-9.5,111.8,10,3.5,MLv,Pusat gempa di laut 157 km BaratDaya TULUNGAGUNG-JATIM,TIDAK,M3,D1,M3D1,149
5/30/2017,01:31:00,-8.61,109.72,20,3.2,MLv,Pusat gempa dilaut 100 km baratdaya Kulonprogo-DIY,TIDAK,M3,D1,M3D1,150
5/31/2017,02:31:00,-3.4,119.0027847,52,0,,,,,,,151
6/1/2017,07:11:35,-8.59,109.85,37,3,MLv,Pusat gempa di laut 91 km BaratDaya Kulonprogo-DIY,TIDAK,M2,D1,M2D1,152
6/2/2017,12:38:59,-8.47,108.93,8,3.3,MLv,Pusat gempa di laut 86 km Barat Daya Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1,153
6/3/2017,05:04:37,-9.25,113.43,10,3.5,MLv,Pusat gempa di laut 123 km BaratDaya Jember Jatim,TIDAK,M3,D1,M3D1,154
6/4/2017,06:34:59,-9.19,113.49,23,3.3,MLv,"Pusat gempa di laut, 115 km Baratdaya Jember - JATIM",TIDAK,M3,D1,M3D1,155
6/5/2017,07:34:59,-6.1,107.7221748,60,0,,,,,,,156
6/6/2017,08:34:59,-6.2,118.719955,60,0,,,,,,,157
6/7/2017,18:05:14,-10.98,111.21,33,4,MLv,Pusat gempa di laut 309 km Tenggara PACITAN-JATIM,TIDAK,M3,D1,M3D1,158
6/8/2017,03:45:03,-7.37,110.64,10,2.6,MLv,Pusat gempa didarat 15 km tenggara Salatiga-Jateng,TIDAK,M2,D1,M2D1,159
6/9/2017,13:37:39,-9.89,108.61,10,4,MLv,Pusat gempa di laut 245 km BaratDaya Pangandaran - Jawa Barat,TIDAK,M3,D1,M3D1,160
6/10/2017,20:03:52,-9.13,112.59,10,3.1,MLv,Pusat gempa di laut 99 km BaratDaya KAB-MALANG-JATIM,TIDAK,M3,D1,M3D1,161
6/11/2017,03:40:24,-9.88,112.89,10,3.6,MLv,"Pusat gempa di laut, 183 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1,162
6/12/2017,15:18:07,-8.81,110.48,26,2.8,MLv,Pusat gempa di laut 87 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1,163
6/13/2017,21:25:08,-8.22,109.55,98,3.3,MLv,Pusat gempa di laut 62 km Barat Daya Kebumen - Jawa Tengah,TIDAK,M3,D2,M3D2,164
6/14/2017,22:25:08,0.2,116.5122591,62,0,,,,,,,165
6/15/2017,15:47:10,-8.5,112.65,137,2.8,MLv,Pusat gempa di laut 29 km BaratDaya Malang - Jawa Timur,TIDAK,M2,D2,M2D2,166
6/17/2017,01:43:13,-8.78,111.08,20,3.3,MLv,Pusat gempa di laut 66 km Barat Daya Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1,167
6/18/2017,21:12:50,-8.42,109.04,30,3.1,MLv,Pusat gempa di laut 80 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1,168
6/19/2017,22:12:50,-1.3,109.8709374,62,0,,,,,,,169
6/20/2017,08:32:46,-8.99,113.76,117,2.4,MLv,Pusat gempa di laut 91 km Tenggara Jember - Jawa Timur,TIDAK,M2,D2,M2D2,170
6/21/2017,11:25:23,-9.43,111.42,83,3.1,MLv,pusat gempa di laut 141 km Tenggara Pacitan,TIDAK,M3,D2,M3D2,171
6/22/2017,13:35:16,-8.64,109.9,20,3.1,MLv,"Pusat gempa di laut, 94 km BaratDaya KULONPROGO-DIY",TIDAK,M3,D1,M3D1,172
6/23/2017,14:35:16,-2.6,106.1032013,62,0,,,,,,,173
6/24/2017,15:35:16,-2.5,118.6396579,62,0,,,,,,,174
6/25/2017,16:35:16,-2.0,107.3258939,62,0,,,,,,,175
6/26/2017,19:22:25,-9.42,113.98,10,2.5,MLv,Pusat gempa di laut 137 km BaratDaya JEMBRANA-BALI,TIDAK,M2,D1,M2D1,176
6/27/2017,11:33:43,-9.32,113.02,19,3.1,MLv,Pusat gempa di laut 124 km Tenggara Malang - Jawa Timur,TIDAK,M3,D1,M3D1,177
6/28/2017,04:30:21,-8.89,112.61,16,3.6,MLv,Pusat gempa di laut 72 km baratdaya Kab. Malang-Jatim,TIDAK,M3,D1,M3D1,178
6/30/2017,05:04:54,-7.57,111.32,66,2.7,MLv,Pusat gempa di laut 9 km BaratLaut Magetan-Jatim,TIDAK,M2,D2,M2D2,179
7/1/2017,23:21:30,-7.66,111.19,6,2.7,MLv,Pusat gempa di darat 16 km BaratDaya Magetan - Jawa Timur,TIDAK,M2,D1,M2D1,180
7/2/2017,00:23:44,-9.28,110.3,10,3.8,MLv,Pusat gempa dilaut 143 km Baratdaya Gunungkidul - DIY,TIDAK,M3,D1,M3D1,181
7/3/2017,22:30:07,-7.74,110.37,120,2.6,MLv,Pusat gempa berada di darat 4 km Tenggara Sleman - D.I. Yogyakarta,TIDAK,M2,D2,M2D2,182
7/4/2017,23:30:07,-1.5,115.4680347,70,0,,,,,,,183
7/5/2017,00:30:07,0.6,107.830126,70,0,,,,,,,184
7/6/2017,01:30:07,-6.8,107.2048192,70,0,,,,,,,185
7/7/2017,18:02:12,-8.82,109.9,10,3.1,MLv,Pusat gempa di laut 112 km BaratDaya Bantul - DIY,TIDAK,M3,D1,M3D1,186
7/8/2017,14:23:38,-9.35,112.01,25,3.2,MLv,Pusat gempa di laut 137 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M3,D1,M3D1,187
7/9/2017,15:23:38,0.2,116.7103517,70,0,,,,,,,188
7/10/2017,17:07:57,-9.04,113.04,10,3,MLv,Pusat gempa di laut 95 km Tenggara Malang - Jawa Timur,TIDAK,M2,D1,M2D1,189
7/11/2017,00:48:27,-8.64,108.55,50,3.1,MLv,Pusat gempa di laut 106 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D1,M3D1,190
7/12/2017,01:48:27,-5.2,108.5830264,72,0,,,,,,,191
7/13/2017,02:48:27,-3.6,115.9800462,72,0,,,,,,,192
